prijs,meters,kamers
250000,71,4
209500,98,5
349500,128,6
250000,86,4
419000,173,6
225000,83,4
549500,165,6
240000,71,4
340000,116,6
349500,100,4
200000,62,3
249000,105,4
247500,72,5
219000,84,4
269000,100,4
549000,185,6
310000,124,5
325000,135,5
242500,77,4
375000,155,5
245000,81,4
207000,64,5
325000,132,6
359500,168,6
215000,100,4
150000,44,2
229000,82,4
225000,94,4
198500,65,2
319000,105,5
375000,177,5
365000,100,3
259000,115,4
240000,73,4
435000,116,4
250000,105,6
300000,95,5
325000,105,5
367500,165,4
239000,63,3
265000,79,4
300000,115,3
